Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,1,ModelResultImpl,997,4172,977,187,977,(TransformationExecutionTime47|ForwardTime:400|Backtrackingtime:55|GlobalConstraintEvaluationTime:30|FitnessCalculationTime:11|ActivationSelectionTime:1|SolutionCopyTime:7|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),289,47,8,0,162,222,0,7,103,400,91,30,11,1,102,0,102,30,0
1,2,ModelResultImpl,997,4440,1113,72,1048,(TransformationExecutionTime46|ForwardTime:544|Backtrackingtime:61|GlobalConstraintEvaluationTime:42|FitnessCalculationTime:39|ActivationSelectionTime:1|SolutionCopyTime:16|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),119,46,10,0,0,153,0,16,104,544,126,42,39,1,103,0,103,30,0
1,3,ModelResultImpl,997,3641,450,26,433,(TransformationExecutionTime23|ForwardTime:225|Backtrackingtime:33|GlobalConstraintEvaluationTime:16|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),48,23,4,0,1,66,0,2,107,225,51,16,10,0,106,0,106,30,0
1,4,ModelResultImpl,997,2482,315,20,306,(TransformationExecutionTime13|ForwardTime:170|Backtrackingtime:6|GlobalConstraintEvaluationTime:16|FitnessCalculationTime:11|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),57,13,2,0,0,25,0,2,72,170,15,16,11,0,72,0,72,31,0
1,5,ModelResultImpl,997,1596,194,13,187,(TransformationExecutionTime8|ForwardTime:102|Backtrackingtime:11|GlobalConstraintEvaluationTime:11|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),23,8,1,0,0,20,0,1,87,102,18,11,5,0,86,0,86,30,0
1,6,ModelResultImpl,997,1397,198,15,188,(TransformationExecutionTime9|ForwardTime:109|Backtrackingtime:11|GlobalConstraintEvaluationTime:8|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),18,9,1,0,0,22,0,1,100,109,21,8,4,0,99,0,99,30,0
1,7,ModelResultImpl,997,3268,437,35,424,(TransformationExecutionTime17|ForwardTime:226|Backtrackingtime:34|GlobalConstraintEvaluationTime:15|FitnessCalculationTime:11|ActivationSelectionTime:0|SolutionCopyTime:4|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),57,17,2,0,0,53,0,4,118,226,48,15,11,0,117,0,117,30,0
1,8,ModelResultImpl,997,1947,210,16,202,(TransformationExecutionTime8|ForwardTime:107|Backtrackingtime:8|GlobalConstraintEvaluationTime:9|FitnessCalculationTime:12|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),31,8,1,0,0,20,0,1,97,107,16,9,12,0,96,0,96,30,0
1,9,ModelResultImpl,997,2269,192,19,184,(TransformationExecutionTime8|ForwardTime:97|Backtrackingtime:5|GlobalConstraintEvaluationTime:13|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),30,8,1,0,0,17,0,1,85,97,13,13,10,0,85,0,85,30,0
1,10,ModelResultImpl,997,1399,174,14,166,(TransformationExecutionTime7|ForwardTime:78|Backtrackingtime:1|GlobalConstraintEvaluationTime:14|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),41,7,1,0,0,12,0,2,72,78,8,14,7,0,71,0,71,30,0
1,11,ModelResultImpl,997,1279,159,14,153,(TransformationExecutionTime6|ForwardTime:86|Backtrackingtime:13|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),17,6,0,0,0,18,0,1,119,86,18,4,3,0,118,0,118,30,0
1,12,ModelResultImpl,997,1292,128,10,123,(TransformationExecutionTime5|ForwardTime:62|Backtrackingtime:4|GlobalConstraintEvaluationTime:9|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),21,5,0,0,1,12,0,1,85,62,9,9,5,0,88,0,88,33,0
1,13,ModelResultImpl,997,4324,239,27,228,(TransformationExecutionTime10|ForwardTime:120|Backtrackingtime:1|GlobalConstraintEvaluationTime:15|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),51,10,1,0,0,16,0,2,65,120,12,15,10,0,64,0,64,30,0
1,14,ModelResultImpl,997,1569,201,16,191,(TransformationExecutionTime7|ForwardTime:101|Backtrackingtime:9|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),27,7,0,0,0,21,0,2,99,101,19,10,8,0,98,0,98,30,0
1,15,ModelResultImpl,997,1330,126,14,119,(TransformationExecutionTime4|ForwardTime:61|Backtrackingtime:3|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),23,4,0,0,0,11,0,1,80,61,9,7,5,0,79,0,79,30,0
1,16,ModelResultImpl,997,1572,158,12,148,(TransformationExecutionTime5|ForwardTime:72|Backtrackingtime:3|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),33,5,1,0,0,11,0,2,70,72,11,10,8,0,69,0,69,30,0
1,17,ModelResultImpl,997,1288,139,12,130,(TransformationExecutionTime5|ForwardTime:74|Backtrackingtime:4|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),18,5,0,0,0,12,0,1,91,74,13,5,6,0,90,0,90,30,0
1,18,ModelResultImpl,997,1321,128,9,122,(TransformationExecutionTime5|ForwardTime:65|Backtrackingtime:4|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),20,5,0,0,0,11,0,0,85,65,10,7,7,0,84,0,84,30,0
1,19,ModelResultImpl,997,1151,108,11,103,(TransformationExecutionTime2|ForwardTime:50|Backtrackingtime:2|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),23,2,0,0,0,8,0,1,79,50,6,7,3,0,78,0,78,30,0
1,20,ModelResultImpl,997,3871,213,21,204,(TransformationExecutionTime8|ForwardTime:113|Backtrackingtime:0|GlobalConstraintEvaluationTime:15|FitnessCalculationTime:9|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),36,8,1,0,0,16,0,1,64,113,8,15,9,0,63,0,63,30,0
1,21,ModelResultImpl,997,2234,235,22,225,(TransformationExecutionTime6|ForwardTime:111|Backtrackingtime:10|GlobalConstraintEvaluationTime:15|FitnessCalculationTime:12|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),47,6,1,0,0,18,0,1,84,111,20,15,12,0,83,0,83,30,0
1,22,ModelResultImpl,997,1283,112,13,107,(TransformationExecutionTime3|ForwardTime:49|Backtrackingtime:0|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),27,3,0,0,0,8,0,1,61,49,5,10,6,0,60,0,60,30,0
1,23,ModelResultImpl,997,1159,149,14,145,(TransformationExecutionTime4|ForwardTime:80|Backtrackingtime:10|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),15,4,0,0,0,17,0,1,101,80,14,5,6,0,100,0,100,30,0
1,24,ModelResultImpl,997,1104,108,9,105,(TransformationExecutionTime3|ForwardTime:51|Backtrackingtime:3|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),23,3,0,0,0,10,0,0,81,51,6,6,4,0,80,0,80,30,0
1,25,ModelResultImpl,997,2621,233,19,222,(TransformationExecutionTime6|ForwardTime:116|Backtrackingtime:6|GlobalConstraintEvaluationTime:13|FitnessCalculationTime:9|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),43,6,1,0,0,22,0,1,91,116,17,13,9,0,90,0,90,30,0
1,26,ModelResultImpl,997,1459,173,10,167,(TransformationExecutionTime4|ForwardTime:86|Backtrackingtime:7|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),32,4,0,0,0,16,0,1,103,86,14,10,6,0,102,0,102,30,0
1,27,ModelResultImpl,997,1130,103,10,98,(TransformationExecutionTime3|ForwardTime:50|Backtrackingtime:2|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),21,3,0,0,0,7,0,0,67,50,6,6,5,0,67,0,67,31,0
1,28,ModelResultImpl,997,1070,109,11,105,(TransformationExecutionTime3|ForwardTime:57|Backtrackingtime:3|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),18,3,0,0,0,9,0,1,95,57,7,6,3,0,94,0,94,30,0
1,29,ModelResultImpl,997,1046,100,9,96,(TransformationExecutionTime3|ForwardTime:49|Backtrackingtime:1|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),23,3,0,0,0,8,0,0,73,49,5,4,3,0,72,0,72,30,0
1,30,ModelResultImpl,997,1079,90,11,85,(TransformationExecutionTime2|ForwardTime:40|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),25,2,0,0,0,5,0,0,58,40,5,5,4,0,57,0,57,30,0
1,31,ModelResultImpl,997,1130,130,11,125,(TransformationExecutionTime3|ForwardTime:57|Backtrackingtime:2|GlobalConstraintEvaluationTime:8|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),34,3,0,0,0,10,0,0,76,57,7,8,6,0,75,0,75,30,0
1,32,ModelResultImpl,997,1625,279,19,271,(TransformationExecutionTime8|ForwardTime:148|Backtrackingtime:16|GlobalConstraintEvaluationTime:11|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),37,8,0,0,0,32,0,2,103,148,24,11,10,0,102,0,102,30,0
1,33,ModelResultImpl,997,1529,285,22,278,(TransformationExecutionTime7|ForwardTime:147|Backtrackingtime:20|GlobalConstraintEvaluationTime:14|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),39,7,0,0,0,34,0,1,139,147,28,14,7,0,140,0,140,31,0
1,34,ModelResultImpl,997,1372,116,11,111,(TransformationExecutionTime3|ForwardTime:57|Backtrackingtime:2|GlobalConstraintEvaluationTime:7|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),22,3,0,0,0,10,0,1,76,57,7,7,4,0,76,0,76,31,0
1,35,ModelResultImpl,997,1136,146,14,141,(TransformationExecutionTime3|ForwardTime:66|Backtrackingtime:6|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:7|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),34,3,0,0,0,14,0,0,102,66,11,6,7,0,101,0,101,30,0
1,36,ModelResultImpl,997,1100,111,10,107,(TransformationExecutionTime2|ForwardTime:54|Backtrackingtime:3|GlobalConstraintEvaluationTime:8|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),21,2,0,0,0,10,0,0,85,54,6,8,5,0,84,0,84,30,0
1,37,ModelResultImpl,997,2532,326,20,315,(TransformationExecutionTime8|ForwardTime:172|Backtrackingtime:20|GlobalConstraintEvaluationTime:16|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),44,8,1,0,0,37,0,1,123,172,30,16,10,0,122,0,122,30,0
1,38,ModelResultImpl,997,1508,161,16,154,(TransformationExecutionTime3|ForwardTime:80|Backtrackingtime:4|GlobalConstraintEvaluationTime:10|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),30,3,0,0,0,16,0,1,95,80,10,10,6,0,94,0,94,30,0
1,39,ModelResultImpl,997,1302,107,10,101,(TransformationExecutionTime2|ForwardTime:54|Backtrackingtime:1|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),20,2,0,0,0,9,0,1,74,54,7,5,4,0,74,0,74,31,0
1,40,ModelResultImpl,997,1104,110,12,106,(TransformationExecutionTime3|ForwardTime:54|Backtrackingtime:1|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),26,3,0,0,0,9,0,0,78,54,5,5,4,0,77,0,77,30,0
1,41,ModelResultImpl,997,1069,134,9,130,(TransformationExecutionTime4|ForwardTime:69|Backtrackingtime:6|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),22,4,0,0,0,13,0,1,94,69,10,5,5,0,93,0,93,30,0
1,42,ModelResultImpl,997,1105,87,9,82,(TransformationExecutionTime2|ForwardTime:41|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),19,2,0,0,0,7,0,0,66,41,5,4,3,0,65,0,65,30,0
1,43,ModelResultImpl,997,1093,89,10,86,(TransformationExecutionTime2|ForwardTime:44|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),20,2,0,0,0,6,0,0,58,44,3,4,3,0,57,0,57,30,0
1,44,ModelResultImpl,997,1075,104,11,99,(TransformationExecutionTime2|ForwardTime:53|Backtrackingtime:3|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),17,2,0,0,0,10,0,0,86,53,7,6,3,0,85,0,85,30,0
1,45,ModelResultImpl,997,1092,148,9,143,(TransformationExecutionTime3|ForwardTime:73|Backtrackingtime:7|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),27,3,0,0,0,18,0,0,116,73,12,6,4,0,115,0,115,30,0
1,46,ModelResultImpl,997,2667,206,18,197,(TransformationExecutionTime5|ForwardTime:100|Backtrackingtime:2|GlobalConstraintEvaluationTime:14|FitnessCalculationTime:10|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),39,5,0,0,0,20,0,1,75,100,11,14,10,0,74,0,74,30,0
1,47,ModelResultImpl,997,1914,155,13,150,(TransformationExecutionTime4|ForwardTime:78|Backtrackingtime:4|GlobalConstraintEvaluationTime:11|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),27,4,0,0,0,15,0,1,85,78,9,11,6,0,84,0,84,30,0
1,48,ModelResultImpl,997,1223,134,10,129,(TransformationExecutionTime3|ForwardTime:61|Backtrackingtime:2|GlobalConstraintEvaluationTime:8|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),31,3,0,0,0,10,0,1,72,61,7,8,8,0,74,0,74,33,0
1,49,ModelResultImpl,997,1097,91,10,87,(TransformationExecutionTime2|ForwardTime:47|Backtrackingtime:1|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),15,2,0,0,0,7,0,0,73,47,5,6,4,0,72,0,72,30,0
